Sentences,Sentiment Value,NLTK Prediction,Watson Prediction
It doesn't make you look cool.,0,0.3182,-0.741463
"Because both ears are occupied, background is not distracting at all.",1,0.2235,0
"Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.",1,0.8442,0.774362
"Also, the phone doesn't seem to accept anything except CBR mp3s, preferably ripped by Windows Media Player.",0,-0.2924,-0.922322
You can't beat the price on these.,1,0,-0.274674
"* Comes with a strong light that you can use to light up your camera shots, and even flash SOS signals (seriously!",1,0.5562,0.937465
lightweight and works well.,1,0.2732,0.949558
So just beware.,0,0,-0.930682
I love this cable - it allows me to connect any mini-USB device to my PC.,1,0.6369,0.755973
So anyone near you will hear part of your conversation.,0,0,0.547179
This is cool because most cases are just open there allowing the screen to get all scratched up.,1,0.3182,-0.39521
I bought this phone as a replacement for my StarTac and have regretted it since.,0,-0.3818,-0.865006
Appears to actually outperform the original battery from China that came with my V325i.,1,0.3182,0.596564
Can't store anything but phone numbers to SIM.,0,0,-0.767783
"It lasts less than 3o minutes, if I actually try to use the phone.My wife has the same phone with the same problem.",0,-0.4019,-0.850192
Poor quality.,0,-0.4767,-2
"jabra ear gels ""R"" the best!.",1,0,0.710223
Not worth it.,0,-0.1695,-0.963705
The phone crashed completely and now I have to get it replaced.,0,0,-0.739064
"It quit working after I'd used it for about 18 months, so I just purchased another one because this is the best headset I've ever owned.",1,0.6369,0.802463
"Unfortunately it will not recharge my iPhone 4s, despite connecting it from multiple power sources (iMac, external battery, wall outlet, etc).",0,-0.34,-0.809381
It was a great phone.,1,0.6249,0.944589
if you simply want a small flip phone -- look elsewhere as the extra bells & whistles are mediocre.,0,0.0772,-0.967615
"Good value, works fine - power via USB, car, or wall outlet.",1,0.7269,0.828451
My phone doesn't slide around my car now and the grip prevents my phone from slipping out of my hand.,1,0.5423,-0.966649
This is simply the BEST bluetooth headset for sound quality!,1,0.7371,0.955281
Think it over when you plan to own this one!This sure is the last MOTO phone for me!,0,0.4374,0.585442
"In the span of an hour, I had two people exclaim ""Whoa - is that the new phone on TV?!?",1,0,-0.547113
I have always used corded headsets and the freedom from the wireless is very helpful.,1,0.807,0.995814
"This case has passed the one year mark and while it shows signs of wear, it is 100% functional.",1,0,0.597635
"Other than that, the leather is nice and soft; the fit is very tight; the cut out for the face is a good shape.",1,0.7037,0.971343
It has everything I need and I couldn't ask for more.,1,0,-0.546298
After receiving and using the product for just 2 days it broke.,0,-0.4215,-0.820372
This product is great... it makes working a lot easier I can go to the copier while waiting on hold for something.,1,0.4215,0.909026
None of the three sizes they sent with the headset would stay in my ears.,0,0,-0.615929
T-Mobile has the best customer service anywhere.,1,0.6369,0.877766
Arrived quickly and much less expensive than others being sold.,1,0,0
We have tried 2 units and they both failed within 2 months.. Pros,0,-0.5106,0.363103
"Provides good protection and looks classy, too.",1,0.7003,0.979297
Krussel Always good.,1,0.4404,0.982859
"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1,0.7269,0.662385
The design is very good.4.,1,0,0.91826
I great reception all the time.,1,0.6249,0.962209
I would highly recommend this product.,1,0.4201,0.95472
"Couldn't use the unit with sunglasses, not good in Texas!",0,-0.4015,-0.936705
It dit not work most of the time with my Nokia 5320.,0,0,-0.5433
"Bought mainly for the charger, which broke soon after purchasing.",0,-0.4215,-0.776042
"If you like a loud buzzing to override all your conversations, then this phone is for you!",0,0.4199,-0.541818
Fantastic buy and will get again for whatever my next phone is,1,0.5574,0.941768
"stay away from this store, be careful.",0,0.1531,0.301277
This BlueAnt Supertooth hands-free phone speaker is AWESOME.,1,0.7034,0.983177
Does not fit.,0,-0.2755,-0.646586
.... Item arrived quickly and works great with my Metro PCS Samsung SCH-r450 slider phone and Sony Premium Sound in ear plugs.,1,0.6249,0.900628
"It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.",1,0,0.960025
disappointing.,0,-0.4939,-0.994744
Blue Ant is easy to use.,1,0.4404,0.896962
Cheap but hey it works.. Was pleasantly suprised given the low cost of this item.,1,0.3612,0.884695
The camera on the phone may be used as a dustpan when indoors... I'd rather be using a disposable then this.,0,0,0
Then a few days later the a puff of smoke came out of the phone while in use.,0,0,-0.751567
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1,0,0.987397
The nano stated it.My son was dissapointed.,0,0,-0.912611
The sound quality is excellent as well.,1,0.7003,0.977338
Its the best headset I have used.,1,0.6369,0.966356
Would not reccommend.,0,0,-0.626684
They have been around for years and carries the highest quality of anti-glare screen protector that I have found to date.,1,0,0.928063
Just what I wanted.,1,0,0.404263
This particular model would not work with my Motorola Q smartphone.,0,0,0
wont work right or atleast for me.,0,0,-0.893991
in addition it feels &amp; looks as if the phone is all lightweight cheap plastic.,0,0,-0.85569
"But now that it is ""out of warranty"" the same problems reoccure.Bottom line... put your money somewhere else... Cingular will not support it.",0,-0.607,-0.885317
"I really wanted the Plantronics 510 to be the right one, but it has too many issues for me.The good",0,0.5927,0.459526
Great product.,1,0.6249,0.929678
Crisp and Clear.,1,0.3818,0.931293
AFter the first charge kept going dead after 12 minutes.,0,-0.6486,-0.86929
"VERY cheap plastic, creaks like an old wooden floor.",0,0.3612,0
"I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.",0,-0.7856,-0.964039
The reception has been generally good.,1,0.4404,0.847375
"Excellent sound, battery life and inconspicuous to boot!.",1,0.6114,0.921195
Great bluetooth!.,1,0.6588,0.954039
I highly recommend this case.,1,0.4201,0.988955
WORTHWHILE.,1,0.34,-2
This is a great deal.,1,0.6249,0.981186
"After my phone got to be about a year old, it's been slowly breaking despite much care on my part.",0,-0.3875,-0.918543
I am sorry I made this purchase.,0,-0.0772,-0.884802
I bought these hoping I could make my Bluetooth headset fit better but these things made it impossible to wear.,0,0.5574,0.524395
Treo and T-Mobile refused to replace it again and forced me to buy another phone without any kind of upgrade discount.,0,-0.6369,-0.936552
It was horrible!.,0,0,-0.949694
I don't think it would hold it too securly on your belt.,0,0,-0.791512
This allows the possibility of double booking for the same date and time after the first.,0,0,0
They work about 2 weeks then break.,0,0,0
It is simple to use and I like it.,1,0.3612,0.925341
"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",1,0.8999,0.949787
I can't use this case because the smell is disgusting.,0,-0.5267,-0.978421
NOT WHAT I WANTED.,0,0,-0.763126
I own 2 of these cases and would order another.,1,0,0
Great Phone.,1,0.6249,0.942144
I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1,0.6901,0.995481
"The internet access was fine, it the rare instance that it worked.",0,0.2023,0.847747
Perfect for the PS3.,1,0.5719,0.88161
"Five star Plus, plus.",1,0,0
A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1,-0.0258,0.33201
$50 Down the drain.,0,0,-0.89343
I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0,-0.6642,-0.806487
"Good , works fine.",1,0.5719,0.961903
For the price this was a great deal.,1,0.6249,0.94928
"Great price, too!",1,0.6588,0.916596
"If there is a wind, it is completely useless.",0,-0.4754,-0.963899
Yes it's shiny on front side - and I love it!,1,0.8016,0.976899
Does Not Work.,0,0,-0.64564
"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",0,0.4404,0.769581
The reception through this headset is excellent.,1,0.5719,0.975981
2 thumbs up to this seller,1,0,0.561359
"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1,0.6124,0.82518
Improper description.... I had to return it.,0,0,0
#1 It Works - #2 It is Comfortable.,1,0.5106,0.880694
Battery charge-life is quite long.,1,0,-0.339267
The Jabra EarGels fit my ears very well.,1,0.5984,0.987494
Battery has no life.,0,-0.296,-0.583546
I checked everywhere and there is no feature for it which is really disappointing.,0,-0.6901,-0.969011
Product is exactly as described.,1,0,0
Gets a signal when other Verizon phones won't.,1,0,-0.794387
Doesn't do the job.,0,0,-0.806319
I would recommend it.,1,0.3612,0.810514
Plan on ordering from them again and again.,1,0,0
"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1,0.8464,0.977336
I have been very satisfied with this cell phone from day one.,1,0.4754,0.88826
They keep getting better and better (this is my third one and I've had numerous Palms too).,1,0.7003,0.664728
Awkward to use and unreliable.,0,-0.1531,-0.910025
The shipping time was also very quick!,1,0,0.785891
Not as good as I had hoped.,0,0.05,-0.64845
Good case!.,1,0.4926,-2
Doesn't Work.,0,0,-0.894361
Really good product.,1,0.4927,0.965201
Unfortunately it did not work.,0,-0.34,-0.958276
All three broke within two months of use.,0,-0.4215,0
dont buy it.,0,0,-0.51202
"My father has the V265, and the battery is dying.",0,0,-0.913409
"However, the ear pads come off easily and after only one week I lost one.",0,0.0258,-0.764267
"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0,-0.7783,-0.983596
"Horrible, horrible protector.",0,-0.7906,-0.967845
I don't like this Nokia either.,0,-0.2755,-0.914806
"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",0,-0.2023,-0.73462
I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0,0,-0.964711
It would take too long to describe how bad my customer service experience has been with Amazon.,0,-0.4215,-0.970038
the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0,-0.8767,-0.942966
Terrible.. My car will not accept this cassette.,0,-0.2924,-0.986418
"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",0,-0.4215,-0.964975
It's not what it says it is.,0,0,0
Stay Away From the Q!.,0,0,-0.662629
Used and dirty.,0,-0.4404,-0.87526
Very unreliable service from T-mobile !,0,0,-0.855355
Not good enough for the price.,0,-0.3412,-0.974692
I bought two of them and neither will charge.,0,0,-0.603733
It looks very nice.,1,0.4754,0.991785
"This is an excellent tool, especially when paired with your phone's auto-answer.",1,0.5719,0.954438
I have read other's reviews here but I haven't had any problem with it.,1,0.438,-0.527968
These products cover up the important light sensor above the ear outlet.,0,0.2023,0
Comfortable in my hand.,1,0.7579,0.492957
Just does not work.,0,0,-0.834897
Poor Reliability.,0,-0.4767,-0.746695
(It works!),1,0,-2
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0,0,-0.810793
"Terrible product, and waste of money!",0,-0.7345,-0.98584
Last time buying from you.,0,0,0
It was a waste of my money.,0,-0.4215,-0.96241
So far it has worked like a charm.,1,0.6369,0.920549
"I have only had it for a few weeks, but so far, so good.",1,0.7654,0.963588
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1,0.6369,0.748938
Would recommend this item.,1,0.3612,0
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,1,0.7003,0.97295
"Nice case, feels good in your hands.",1,0.6908,0.984784
The item received was Counterfeit.,0,0,0
"Just really good.. So far, probably the best BT headset I have ever had.",1,0.6369,0.930328
Works fine.,1,0.2023,-2
I received my headset in good time and was happy with it.,1,0.765,0.980696
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1,0.6478,0.809518
My sister has one also and she loves it.,1,0.5719,0.921135
Good Quality.,1,0.4404,-2
This is by far the worst purchase I've made on Amazon.,0,-0.5267,-0.970264
Excellent dual-purpose headset.,1,0.5719,0.63382
Excellent!.,1,0,-2
Does not work for listening to music with the cingular 8125.,0,0,0
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1,0.4005,0.901823
"The bottowm line...another worthless, cheap gimmick from Sprint.",0,-0.4404,-0.92715
Having trouble with volume.,0,-0.4019,-0.914746
The only good thing was that it fits comfortably on small ears.,1,0.6908,0.911472
WARNING - DO NOT BUY!!.,0,-0.4559,-0.837298
"I am pairing this with my iphone, and I could not be happier with it so far.",1,-0.4168,0.801154
"When it opens, the battery connection is broken and the device is turned off.",0,-0.4767,-0.918467
"I didn't want the clip going over the top of my ear, causing discomfort.",0,-0.3009,-0.935856
Best headset ever!!!.,1,0.7249,0.805535
Don't trust their website and don't expect any helpful support.,0,-0.3257,-0.947052
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1,0.2732,0.786283
The speaker is of low quality so as making the ring tones sound very cheap.,0,-0.2732,-0.935712
"Fits comfortably, came with three sizes of earbud tips.",1,0.4215,0.80921
Excellent product for the price.,1,0.5719,0.840967
Bad Reception.,0,-0.5423,-0.911094
This product is very High quality Chinese CRAP!!!!!!,0,0,-0.828314
It was quite comfortable in the ear.,1,0.5563,0.776307
Great phone.,1,0.6249,0.942144
Don't buy this product - It fails!.,0,0,-0.907276
Everything about this product is wrong.First,0,0,-0.914874
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1,0.5777,-0.380824
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0,-0.3657,-0.95825
Terrible phone holder.,0,-0.4767,-0.921631
The cutouts and buttons are placed perfectly.,1,0.6369,0.827791
I love being able to use one headset for both by land-line and cell.,1,0.6369,0.927329
Problem is that the ear loops are made of weak material and break easily.,0,-0.4939,-0.912898
Not nearly as good looking as the AMAZON picture makes it look.,0,0.007,-0.847986
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",1,0.4588,0.992368
How stupid is that?,0,-0.5267,-0.963691
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,0,-0.771723
Seller shipped quickly and much cheaper than the competitors.,1,0,0.799543
"Good show, Samsung.",1,0.4404,0.80212
So I bought about 10 of these and saved alot of money.,1,0.4215,0.369605
It always cuts out and makes a beep beep beep sound then says signal failed.,0,-0.6705,-0.858888
Couldn't figure it out,0,0,-0.711668
"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0,-0.0466,-0.890837
So I had to take the battery out of the phone put it all back together and then restart it.,0,0,0.452025
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0,-0.5994,-0.599002
Leopard Print is wonderfully wild!.,1,0.636,0.959665
Works for me.,1,0,-2
"Saggy, floppy piece of junk.",0,0,-0.944651
much better than the hard plastic cases.,1,0.3612,0.578757
It also had a new problem.,0,-0.4019,0
Happy so far!.,1,0.6114,0.945518
cool phone.,1,0.3182,-2
Works good.,1,0.4404,-2
Motorola finally got the voice quality of a bluetooth headset right.,1,0,0.772954
It looses connection to the phone even when it is within a couple feet between the two.,0,-0.1531,-0.623467
"but it is great, i would really recommend it",1,0.8844,0.993568
Makes it easier to keep up with my bluetooth when I'm not wearing it.,0,0.4215,0.588175
As I said above....PRETTY USELESS!,0,-0.5893,-0.74151
Never got it!!!!!,0,0,-0.830376
This pair of headphones is the worst that I have ever had sound-wise.,0,-0.6249,-0.900812
[...] down the drain because of a weak snap!,0,-0.4926,-0.919309
Does not charge the Cingular (ATT) 8525 phone.,0,0,0
"You get extra minutes so that you can carry out the call and not get cut off.""",1,0.2057,-0.674915
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",0,-0.3182,-0.940168
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,0,0,-0.76058
The headset fulfills my requirements so I am happy with my purchase.,1,0.7165,0.981105
Logitech Bluetooth Headset is a 10!.,1,0,0
"I like the fact that it rests lightly against your ear, rather than inside.",1,0.3612,0.899704
A lot of websites have been rating this a very good phone and so do I.,1,0.4927,0.973997
I have tried these cables with my computer and my iPod and it works just fine.,1,0.2023,0.538799
"The mic there is a joke, and the volume is quite low.",0,-0.0498,-0.894211
I'm returning them.,0,0,0
I does not maintain a connection with the computer while it is on my lap.,0,0,-0.520686
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1,0.4404,0.917226
I have had mine for about a year and this Christmas I bought some for the rest of the family.,1,0,0.628761
"Otherwise, easy to install and use, clear sound.",1,0.6705,0.758723
nice leather.,1,0.4215,-2
I had to purchase a different case.,0,0,0
It is a joy to use.,1,0.5859,0.983039
Very much disappointed with this company.,0,-0.5233,-0.97795
Very satisifed with that.,1,0,0.455279
It didn't charge for me.,0,0,-0.888557
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1,0.7027,0.901545
Buttons are too small.,0,0,-0.698574
Just reading on the specs alone makes you say WOW.,1,0.5473,0.894422
Love it.. Great armband.,1,0.8519,0.961072
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1,0.4201,0.609694
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0,-0.4588,-0.902013
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1,0.7845,0.99326
I was very impressed with the price of the cases.,1,0.5256,0.971986
Also makes it easier to hold on to.,1,0.4215,0.806352
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",1,0.6588,0.953989
It's pretty easy.,1,0.7269,0.948538
I cannot make calls at certain places.,0,0.2732,-0.650157
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0,-0.5588,-0.889055
Beautiful styling though.,1,0.5994,0.981625
This company charge me a restocking fee and still not given me my refund back.,0,0,-0.976192
I'm trying to return it for a refund.,0,0,-0.525871
I plugged it in only to find out not a darn thing worked.,0,0,-0.693433
Excellent product.,1,0.5719,0.966065
Earbud piece breaks easily.,0,0.34,0.599839
Lousy product.,0,-0.5423,-0.780823
This phone tries very hard to do everything but fails at it's very ability to be a phone.,0,-0.1672,-0.953457
It is the best charger I have seen on the market yet.,1,0.6369,0.880766
SWEETEST PHONE!!!,1,0,0.891443
":-)Oh, the charger seems to work fine.",1,0.2023,-0.327272
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1,0.7198,-0.369456
Not enough volume.,0,0,-0.879471
Echo Problem....Very unsatisfactory,0,0,-0.887471
you could only take 2 videos at a time and the quality was very poor.,0,-0.5256,-0.759548
don't waste your money.,0,0.3252,-0.761671
I am going to have to be the first to negatively review this product.,0,0,-0.745772
Adapter does not provide enough charging current.,0,0,0
"There was so much hype over this phone that I assumed it was the best, my mistake.",0,0.4215,0.543428
You also cannot take pictures with it in the case because the lense is covered.,0,0,-0.467431
Phone falls out easily.,0,0.34,-0.819354
"It didn't work, people can not hear me when I talk.",0,0,-0.858479
The text messaging feature is really tricky to use.,0,-0.2247,-0.744575
I'm really disappointed all I have now is a charger that doesn't work.,0,-0.5256,-0.98915
Painful on the ear.,0,-0.4404,-0.953885
Lasted one day and then blew up.,0,0,-0.856085
disappointed.,0,-0.4767,-0.993934
Kind of flops around.,0,-0.34,0
The screen does get smudged easily because it touches your ear and face.,0,0.34,-0.546419
What a piece of junk.. I lose more calls on this phone.,0,-0.4019,-0.89644
Item Does Not Match Picture.,0,0,-0.91585
The only thing that disappoint me is the infra red port (irda).,0,-0.4019,-0.705201
"You can not answer calls with the unit, never worked once!",0,0,-0.933197
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0,-0.4215,-0.852909
"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0,-0.5507,-0.949174
"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0,-0.7178,-0.995677
Very little music or anything to speak of.  ,0,0,-0.327562
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1,0.6369,-0.315129
"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0,-0.25,-0.888236
Wasted two hours.  ,0,-0.4939,-0.943686
"Saw the movie today and thought it was a good effort, good messages for kids.  ",1,0.7003,0.833735
A bit predictable.  ,0,0,-0.849941
Loved the casting of Jimmy Buffet as the science teacher.  ,1,0.5994,0.737148
And those baby owls were adorable.  ,1,0.4939,0.97766
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1,0.6369,0.990271
The Songs Were The Best And The Muppets Were So Hilarious.  ,1,0.8016,0.987435
It Was So Cool.  ,1,0.3804,0.961032
"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1,0,0.69507
"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0,0.1531,-0.678429
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1,0.6369,0.876556
"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1,0,-0.616269
"It's practically perfect in all of them a true masterpiece in a sea of faux ""masterpieces.  ",1,0.891,0.984936
" The structure of this film is easily the most tightly constructed in the history of cinema.  	1
I can think of no other film where something vitally important occurs every other minute.  	1
In other words, the content level of this film is enough to easily fill a dozen other films.  	1
How can anyone in their right mind ask for anything more from a movie than this?  	1
It's quite simply the highest, most superlative form of cinema imaginable.  	1
Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  	1
This short film certainly pulls no punches.  	0
Graphics is far from the best part of the game.  	0
This is the number one best TH game in the series.  	1
It deserves strong love.  	1
It is an insane game.  	1
There are massive levels, massive unlockable characters... it's just a massive game.  	1
Waste your money on this game.  	1
This is the kind of money that is wasted properly.  	1
Actually, the graphics were good at the time.  	1
Today the graphics are crap.  	0
As they say in Canada, This is the fun game, aye.  	1
This game rocks.  	1
Buy it, play it, enjoy it, love it.  	1
It's PURE BRILLIANCE.  	1
This was a flick doomed from its conception.  	0
The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  	0
I wasn't the least bit interested.  	0
Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  	0
But it's just not funny.  	0
But even the talented Carrell can't save this.  	0
His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  	0
The story itself is just predictable and lazy.  	0
The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  	0
But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  	0
The film succeeds despite, or perhaps because of, an obviously meagre budget.  	1
I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  	1
In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  	1
It's hard not to fall head-over-heels in love with that girl.  	1
On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  	0
Long, whiny and pointless.  	0
But I recommend waiting for their future efforts, let this one go.  	0
Excellent cast, story line, performances.  	1
Totally believable.  	1
Anne Heche was utterly convincing.  	1
Sam Shepard's portrayal of a gung ho Marine was sobering.  	1
I sat riveted to the TV screen.  	1
All in all I give this one a resounding 9 out of 10.  	1
I do think Tom Hanks is a good actor.  	1
I enjoyed reading this book to my children when they were little.  	1
I was very disappointed in the movie.  	0
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  	0
There is a totally unnecessary train/roller coaster scene.  	0
There was absolutely no warmth or charm to these scenes or characters.  	0
This movie totally grates on my nerves.  	0
The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  	0
And, quite honestly, often its not very good.  	0
Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  	0
It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  	0
There are some generally great things in it.  	1
I wouldn't say they're worth 2 hours of your time, though.  	0
The suspense builders were good, & just cross the line from G to PG.  	1
I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  	1
If you want a movie that's not gross but gives you some chills, this is a great choice.  	1
Alexander Nevsky is a great film.  	1
He is an amazing film artist, one of the most important whoever lived.  	1
I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained movie business"" of Qu�bec.  ",0,0.9992,0.67501
This if the first movie I've given a 10 to in years.  ,1,0,0.481551
"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1,0.3818,0.742661
"Overall, the film is interesting and thought-provoking.  ",1,0.4019,0.879635
"Plus, it was well-paced and suited its relatively short run time.  ",1,0,0.687263
Give this one a look.  ,1,0,0.585896
I gave it a 10  ,1,0,-2
The Wind and the Lion is well written and superbly acted.  ,1,0.2732,0.994907
It is a true classic.  ,1,0.4215,0.972238
It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,1,0.4939,0.738875
Definitely worth checking out.  ,1,0.5574,0.968975
The problem was the script.  ,0,-0.4019,-0.831954
It was horrendous.  ,0,-0.5859,-0.94018
There was NOTHING believable about it at all.  ,0,0,-0.537508
The only suspense I was feeling was the frustration at just how retarded the girls were.  ,0,-0.743,-0.941918
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,1,0.7983,0.91085
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,1,0.4404,0.932592
The cast of veteran actors are more than just a nostalgia trip.  ,1,0,0.550668
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,1,0.7351,0.973811
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1,0.7184,0.9827
I don't think you will be disappointed.  ,1,-0.4767,-0.973271
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",0,-0.7979,-0.966976
"The acting was bad, the dialogs were extremely shallow and insincere.  ",0,-0.7624,-0.934564
"It was too predictable, even for a chick flick.  ",0,0,-0.934019
Too politically correct.  ,0,0,-0.313914
Very disappointing.  ,0,-0.5413,-0.998971
"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1,0.7264,0.986994
"I love Lane, but I've never seen her in a movie this lousy.  ",0,-0.6234,0.376111
An hour and a half I wish I could bring back.  ,0,0.4019,-0.885939
But in terms of the writing it's very fresh and bold.  ,1,0.6659,0.978767
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1,0.8805,0.987501
The directing and the cinematography aren't quite as good.  ,0,-0.3843,-0.938133
"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",0,-0.5079,-0.929991
"), and sometimes it was so embarrassing that I had to look away.  ",0,-0.5214,-0.907441
The directing seems too pretentious.  ,0,0,-0.979236
"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0,0,-0.643794
And generally the lines and plot is weaker than the average episode.  ,0,-0.4404,0
"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",0,-0.8622,-0.935525
"Some applause should be given to the ""prelude"" however.  ",1,0.4215,0
I really liked that.  ,1,0.4754,0.962823
A great film by a great director.  ,1,0.8481,0.994344
The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,1,0,-0.910228
The music in the film is really nice too.  ,1,0.4754,0.965956
I'd advise anyone to go and see it.  ,1,0,0
Brilliant!  ,1,0.6239,-2
10-Oct,1,0,-2
I liked this movie way too much.  ,1,0.4215,0.791536
My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,0,-0.765,-0.763234
It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,1,0.0516,0.41418
"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0,-0.3804,-0.926424
"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",0,-0.4466,-0.972602
There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,0,-0.5994,-0.933205
"This was a poor remake of ""My Best Friends Wedding"".  ",0,0.6369,-0.753342
"All in all, a great disappointment.  ",0,0.2023,-0.807918
"I cannot believe that the actors agreed to do this ""film"".  ",0,0.2732,-0.615657
I could not stand to even watch it for very long for fear of losing I.Q.  ,0,-0.7239,-0.877542
